都道府県,市区町村,粗大ゴミ申し込みURL,クリーンセンター電話番号,遺品整理業者備考,補助金備考,片付け相場備考
東京都,千代田区,https://www.city.chiyoda.lg.jp/kurashi/gomi/,03-5211-4251,提携業者に無料相談,,
東京都,中央区,https://www.city.chuo.lg.jp/kurashi/gomi/,03-3546-5511,提携業者に無料相談,,
東京都,港区,https://www.city.minato.tokyo.jp/kankyo/gomi/,03-3578-2111,提携業者に無料相談,,
東京都,新宿区,https://www.city.shinjuku.lg.jp/kankyo/,03-5273-3333,提携業者に無料相談,,
東京都,文京区,https://www.city.bunkyo.lg.jp/gomi/,03-5803-1100,提携業者に無料相談,,
東京都,台東区,https://www.city.taito.lg.jp/index/kurashi/gomi/,03-5246-1111,提携業者に無料相談,,
東京都,墨田区,https://www.city.sumida.lg.jp/kurashi/gomi/,03-5608-6951,提携業者に無料相談,,
東京都,江東区,https://www.city.koto.lg.jp/kurashi/gomi/,03-3647-9175,提携業者に無料相談,,
東京都,品川区,https://www.city.shinagawa.tokyo.jp/ct/kurashi/,03-5742-6821,提携業者に無料相談,,
東京都,目黒区,https://www.city.meguro.tokyo.jp/kurashi/gomi/,03-3715-1111,提携業者に無料相談,,
東京都,大田区,https://www.city.ota.tokyo.jp/kurashi/gomi/,03-5744-1111,提携業者に無料相談,,
東京都,世田谷区,https://www.city.setagaya.lg.jp/kurashi/103/128/129/index.html,03-3700-6191,提携業者に無料相談,世田谷区では空き家の解体に際し区の助成制度の有無を窓口で確認できます。相続した空き家の譲渡所得から3000万円まで控除できる特例（相続空き家の3000万円特別控除）の対象かは税理士にご相談ください。,世田谷区の遺品整理・実家片付けは、1Kで十数万円〜、2LDKで20〜40万円程度、3LDK以上で40万円〜が目安となることが多いです。複数社の無料見積もりで比較することをおすすめします。
東京都,渋谷区,https://www.city.shibuya.tokyo.jp/kurashi/gomi/,03-3463-1211,提携業者に無料相談,,
東京都,中野区,https://www.city.nakano.tokyo.jp/kurashi/gomi/,03-3382-1111,提携業者に無料相談,,
東京都,杉並区,https://www.city.suginami.tokyo.jp/kurashi/gomi/,03-3312-2111,提携業者に無料相談,,
東京都,豊島区,https://www.city.toshima.lg.jp/kurashi/gomi/,03-3981-1111,提携業者に無料相談,,
東京都,北区,https://www.city.kita.tokyo.jp/kurashi/gomi/,03-3908-1111,提携業者に無料相談,,
東京都,荒川区,https://www.city.arakawa.tokyo.jp/kurashi/gomi/,03-3802-3111,提携業者に無料相談,,
東京都,板橋区,https://www.city.itabashi.tokyo.jp/kurashi/104/,03-3579-2222,提携業者に無料相談,,
東京都,練馬区,https://www.city.nerima.tokyo.jp/kurashi/gomi/,03-5984-1111,提携業者に無料相談,,
東京都,足立区,https://www.city.adachi.tokyo.jp/kurashi/gomi/,03-3880-5111,提携業者に無料相談,,
東京都,葛飾区,https://www.city.katsushika.lg.jp/kurashi/1010/gomi/,03-5654-8111,提携業者に無料相談,,
東京都,江戸川区,https://www.city.edogawa.tokyo.jp/kurashi/gomi/,03-5662-2111,提携業者に無料相談,,
北海道,札幌市,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E7%B2%97%E5%A4%A7%E3%82%B4%E3%83%9F%20%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF,要確認,提携業者に無料相談,,
北海道,函館市,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%87%BD%E9%A4%A8%E5%B8%82%20%E7%B2%97%E5%A4%A7%E3%82%B4%E3%83%9F%20%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF,要確認,提携業者に無料相談,,
北海道,旭川市,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%97%AD%E5%B7%9D%E5%B8%82%20%E7%B2%97%E5%A4%A7%E3%82%B4%E3%83%9F%20%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF,要確認,提携業者に無料相談,,
北海道,室蘭市,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%AE%A4%E8%98%AD%E5%B8%82%20%E7%B2%97%E5%A4%A7%E3%82%B4%E3%83%9F%20%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF,要確認,提携業者に無料相談,,
北海道,小樽市,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%B0%8F%E6%A8%BD%E5%B8%82%20%E7%B2%97%E5%A4%A7%E3%82%B4%E3%83%9F%20%E7%94%B3%E3%81%97%E8%BE%BC%E3%81%BF,要確認,提携業者に無料相談,,
