keyword,search_intent,category,phase,h2_idea,priority,cv_destination,status,url
実家 片付け 親 説得,共感・対話法,親・家族,1,"親を説得するコツ / こじらせない会話 / ツールで共有",1,進捗管理アプリ・家族共有,,
親 捨てられない 病気,共感・制度,親・家族,1,ホーディングと支援 / 自治体・業者,2,進捗管理・専門家紹介,,
実家 片付け どこから,手順・ロードマップ,進め方,1,"最初にやること / 場所別 / 診断ツールへ",1,チェックリスト・片付けシミュ,,
生前整理 やり方 リスト,手順・リスト,進め方,1,場所別ロードマップ / リスト化,1,チェックリスト・ツール登録,,
生前整理 疲れた,共感・代行,進め方,1,疲れたときの対処 / 業者依頼のタイミング,2,不用品一括見積もり,,
実家 片付け 業者 頼みたい,代行・外注,進め方,1,プロに頼むのは親孝行 / 一括見積もり,1,不用品回収・遺品整理,,
デジタル遺品 パスワード わからない,啓蒙・ツール,デジタル,1,重要性 / 目録の作り方 / ツール登録,1,会員登録・資産目録,,
着物 処分 罪悪感,価値転換・供養,処分・買取,2,"罪悪感を減らす / リユース・買取 / 送客",1,着物買取,,
古い着物 捨て方,処分方法,処分・買取,2,捨て方・リユース・買取,2,着物買取,,
仏壇 処分 費用,供養・タブー,処分・供養,2,供養の方法 / お焚き上げ / 業者紹介,2,遺品整理・供養サービス,,
位牌 供養,供養,処分・供養,2,お焚き上げ相場・業者,2,供養サービス,,
コレクション 処分 夫,家族・処分,処分・買取,2,価値の見極め / 鑑定無料,2,出張買取,,
骨董品 価値 わからない,査定・鑑定,処分・買取,2,鑑定のプロに無料で見てもらう,1,出張買取・鑑定,,
空き家 維持費 シミュレーション,計算・査定,資産・家,3,維持費の内訳 / シミュツール / 査定へ,1,空き家シミュ・不動産リード,,
実家 固定資産税 いくら,計算,資産・家,3,地域別目安 / シミュツール,1,空き家シミュ・査定,,
実家じまい 費用,費用・手順,資産・家,3,解体・片付けの総額 / 査定,1,不動産一括査定・空き家活用,,
実家 解体 費用,費用,資産・家,3,相場解説 / 一括見積もり,2,不動産・解体業者,,
生前整理 いつから,きっかけ・年齢,進め方,3,年齢別リスク / 今からできること,1,エンディングノート・資産入力,,
生前整理 アプリ,指名・ツール,ツール名,4,無料ツール紹介 / 進捗管理,1,自社ツール・会員登録,,
実家 片付け リスト エクセル,指名・ツール,ツール名,4,無料テンプレ・ツール,2,自社ツール・DL,,
実家じまい 兄弟 トラブル,法務・第三者,親・家族,1,負担分担 / 弁護士監修 / 業者介入,2,士業・業者紹介,,
写真 整理 生前,デジタル化・感情,資産・家,2,残し方・捨て方 / スキャン代行,2,デジタル化・代行,,
